Subject,List,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
13,0,589.2063492063492,3221.065759637188,5491.904761904762,7799.795918367347,10043.333333333332,14043.718820861677,16572.312925170067,26828.68480725624,,,,,,,,,
13,1,1221.4285714285716,3388.5941043083903,5766.281179138322,8312.244897959185,10752.630385487528,12794.399092970521,15043.310657596372,16860.02267573696,18980.317460317463,21039.20634920635,26799.569160997733,47679.07029478458,,,,,
13,2,915.124716553288,3109.7732426303855,5387.02947845805,7647.052154195012,9876.031746031746,11910.2947845805,14353.242630385488,17818.276643990932,23851.655328798188,26714.240362811794,34983.67346938775,42680.61224489796,50318.43537414966,,,,
13,3,801.5873015873017,2443.5374149659865,4230.0,6209.52380952381,8122.698412698412,9849.818594104308,12191.904761904763,16433.174603174604,18393.786848072563,,,,,,,,
13,4,1108.43537414966,3195.3968253968255,5512.562358276644,7279.818594104308,9494.535147392291,,,,,,,,,,,,
13,5,774.9659863945578,2981.7233560090704,5286.167800453515,7373.265306122449,9766.621315192744,11844.036281179138,13849.773242630386,15805.102040816326,17924.104308390026,20368.480725623584,22746.09977324263,53566.12244897959,,,,,
13,6,767.1201814058957,2948.8208616780043,5060.680272108843,7351.08843537415,10072.562358276644,12725.918367346938,15366.916099773243,20377.414965986398,23468.91156462585,,,,,,,,
13,7,965.5782312925171,3119.183673469388,5140.6349206349205,7174.875283446712,10112.857142857143,12159.20634920635,14148.14058956916,15913.015873015873,,,,,,,,,
14,0,1239.3650793650795,3593.718820861678,5980.544217687075,8019.07029478458,10239.954648526078,12180.748299319728,14213.58276643991,16339.455782312925,18195.60090702948,20221.179138321997,21962.83446712018,35157.34693877551,59926.37188208617,,,,
14,1,1755.62358276644,4264.240362811791,6670.113378684808,9119.047619047618,11779.092970521542,14281.746031746032,17269.84126984127,19458.09523809524,22288.548752834467,24876.5306122449,27821.38321995465,30548.684807256235,33270.45351473923,35383.62811791383,,,
14,2,2087.5736961451244,4481.950113378684,18849.183673469386,19893.242630385488,21651.40589569161,24005.034013605444,26001.315192743765,29754.557823129253,31467.732426303854,34034.14965986395,36621.40589569161,40783.0612244898,43500.65759637188,47733.333333333336,,,
14,3,1524.5351473922904,3385.124716553288,5942.743764172335,8992.086167800453,11399.591836734695,13597.505668934242,15665.78231292517,17734.126984126986,19668.979591836734,22173.310657596372,27094.69387755102,39270.249433106575,,,,,
14,4,2237.9591836734694,4339.319727891157,13773.219954648526,15826.848072562358,20814.897959183676,23212.902494331065,25602.766439909297,28045.19274376417,30524.19501133787,32413.74149659864,34587.61904761905,,,,,,
14,5,1900.6349206349207,4100.861678004535,6943.424036281179,12327.052154195013,17490.2947845805,19612.31292517007,22541.451247165533,27155.26077097506,30650.385487528347,32904.01360544218,35135.124716553284,37365.102040816324,,,,,
14,6,962.4489795918367,2372.4716553287985,3510.8616780045354,4828.1405895691605,6826.235827664399,8101.768707482993,9510.385487528345,10900.884353741496,13290.997732426304,14878.775510204083,23642.131519274375,25382.06349206349,26959.886621315192,30303.42403628118,35452.42630385488,,
14,7,1773.7414965986395,4218.412698412698,6328.730158730159,8622.675736961452,10567.891156462585,12534.603174603175,14623.854875283447,17053.968253968254,18859.591836734693,20711.24716553288,22374.98866213152,25439.297052154194,39923.42403628118,,,,
15,0,896.0544217687076,2583.5374149659865,4320.6122448979595,5629.637188208617,6998.639455782313,8500.95238095238,10337.32426303855,11578.231292517006,13299.092970521542,28567.14285714286,34767.91383219955,45664.33106575964,,,,,
15,1,1203.718820861678,2859.6145124716554,4465.918367346939,6362.97052154195,8469.84126984127,10418.616780045351,12141.315192743765,14207.573696145126,34527.91383219954,,,,,,,,
15,2,1266.5532879818595,2582.108843537415,3881.451247165533,5238.344671201814,7760.340136054422,9628.775510204083,14235.14739229025,26549.297052154194,32920.56689342404,39619.160997732426,,,,,,,
15,3,1161.859410430839,2370.566893424036,3879.297052154195,5218.480725623583,7186.326530612245,9225.850340136054,10540.27210884354,11789.319727891156,13606.031746031746,15401.247165532879,18488.934240362814,20123.74149659864,35029.97732426304,,,,
15,4,970.702947845805,2738.843537414966,4577.64172335601,6276.825396825397,8656.643990929706,10453.401360544218,14438.117913832199,22089.569160997733,24015.26077097506,32862.74376417234,40191.42857142857,46190.589569161,,,,,
15,5,1171.4285714285716,2840.975056689342,4380.362811791383,6193.5147392290255,8391.451247165533,12217.210884353743,14295.034013605444,38113.71882086168,51022.74376417234,57533.87755102041,,,,,,,
15,6,1205.0340136054422,2997.8231292517007,4905.170068027211,6469.614512471655,8203.718820861677,17978.344671201816,30731.655328798188,,,,,,,,,,
15,7,1369.4104308390022,2633.8321995464853,4091.9727891156467,5828.934240362812,7664.172335600907,8859.115646258504,10830.0,11847.551020408164,12893.015873015873,21964.739229024945,,,,,,,
